จังหวัด,รายชื่อวัด
,วัดนาอ่าง
,วัดทุ่งป่าผาง
,วัดสมศรี
,วัดชัยมงคล
,วัดหนองครอง
,วัดโคกแสง
,วัดป่าคูณคำวิปัสสนา
,วัดป่าเลไลย์
,วัดศิริสุภา
,วัดศิริมงคล
,วัดป่าอิสรธรรม
,วัดโสภณธรรมาราม
,วัดป่าโมน
,วัดแสงสุริโยทัย
,วัดศรีราชไตรภรณ์
,วัดธาตุศรีมงคล
,วัดป่าอ้อมแก้ว
,วัดป่าโจด
,วัดลาดดู่
,วัดป่าหนองบัวสร้าง
,วัดกุดเรือคำ
,วัดศิริชมภูเรืองรัตนาราม
,วัดธาตุวิไลกลาง
,วัดลุมพินีวัน
,วัดสามัคคีวราราม
,วัดอัมพวนาราม
,วัดศีรษะตะพาน
,วัดแจ้งแสงอุดม
,วัดปทุมรัตนาราม
,วัดกลางศรีเชียงใหม่
,วัดอินทาราม
,วัดสิริมังคลาราม
,วัดเจริญชัย
,วัดป่าเทพนิมิตร
,วัดศรีบุญชู
,วัดสงบอารมณ์
,วัดนาตาล 
,วัดบูรพา
,วัดศรีโพธิ์ชัย
,วัดหนองส่าน 
,วัดเทพกัญญาราม
,วัดศรีบุญเรืองใต้
,วัดจิตตภาวัน
,วัดห้วยหวด
,วัดศรีสมบูรณ์
,วัดชลประทานน้ำอูน
,วัดดงคำโพธิ์
,วัดอรัญญาวาส
,วัดป่าแก้วเจริญธรรม
,วัดเจริญศิลป์
,วัดห้วยปลาใย
,วัดศรีจอมแจ้ง
,วัดสามัคคีเทวนาราม
,วัดคำประมง
,วัดบ้านตาล 
,วัดโนนสว่างภิรมย์
,วัดดอนสวรรค์
,วัดโนนสะอาด
,วัดธรรมมาภิรตาราม
,วัดมัชฌิมาวาส
,วัดจุมพล
,วัดเหล่าปอแดง
,วัดโคกสูง
,วัดโสตถิผล
,วัดประชานิยม
,วัดธาตุโคกคอน
,วัดป่าเจติยานุสรณ์
,วัดกู่
,วัดน้ำพุงสามัคคี
,วัดสิงหาญ
,วัดโคกเจริญ
,วัดโนนวิเวก
,วัดเทพพิทักษ์
,วัดศรีธาตุการาม
,วัดศรีคูณ
,วัดบุปผาราม
,วัดโพธิ์ศรี 
,วัดในธรรม
,วัดบ้านเปือย
,วัดสระประทุมทอง
,วัดพังเม็ก
,วัดป่าดงสวรรค์
,วัดป่านาคนิมิตต์
,วัดดอยธรรมเจดีย์
,วัดบ้านบอน
,วัดโคกสว่างวารีรมณ์
,วัดศรีบุญเรืองเหนือ
,วัดศรีสุพรรณ
,วัดบ้านกกส้มโฮง
,วัดพระธาตุนารายณ์เจงเวง
,วัดโพธาราม
,วัดโพนแดง 
,วัดธาตุฝุ่น
,วัดหนองโจด
,วัดภูเงิน
,วัดถ้ำแก่นจันทน์
,วัดบ้านสามแยก
,วัดยอดลำธาร
,วัดโนนสวรรค์
,วัดศรีคูณพัฒนา
,วัดศรีประดิษฐาราม 
,วัดตาลสุม
,วัดสามัคคีท่าหลวง
,วัดนางอย
,วัดเทพสวัสดิ์
,วัดป่าบ้านขาว
,วัดหนองกุง
,วัดโพธิ์ศรีแก้ว
,วัดสว่างจิตร
,วัดศิริทัศน์ดาราม
,วัดบูรพาภิรมย์
,วัดบ้านห้วยยาง
,วัดกุดไผท
,วัดหนองทรายขาว
,วัดโนนแสงทอง
,วัดพันธาราม
,วัดศีรษะตะครอง
,วัดศิริพันธวงค์
,วัดป่าบ้านโพนทอง
,วัดนาขาม
,วัดจันทรังษี
,วัดป่าแสนสุข
,วัดพรหมหัวบึง
,วัดอรัญวิเวก
,วัดโชติการาม
,วัดหายโศก
,วัดเจริญคุณ
,วัดวิไล
,วัดโสภณพัฒนา
,วัดสิลารัตน์
,วัดศรีวรารมณ์
,วัดศิลาอาสน์
