จังหวัด,รายชื่อวัด
,วัดศรีอรัญญาวาส
,วัดฉิมพลีดู่งิ้ว
,วัดดีหล้าโพธิ์ธาราม
,วัดหนองตุหนองแวง
,วัดห้วยหิน 
,วัดสองห้องเหนือ
,วัดสุทธาวาส 
,วัดนาควิชัย
,วัดหมากหญ้า
,วัดบ้านหวาย 
,วัดส่องเหนือ
,วัดปรางค์กู่
,วัดสว่างวราราม
,วัดสว่างโนนทัน
,วัดขิงแคง
,วัดท่าวารี
,วัดเลิงแฝก
,วัดไพศาลศักดาราม
,วัดประดู่
,วัดสระทอง
,วัดหนองหว้า 
,วัดบวรมงคล
,วัดสุวรรณรังษี
,วัดสง่าสามัคคี
,วัดกุดเวียน
,วัดจันทราวาส
,วัดหัวหนอง
,วัดสว่างดุสิต
,วัดโพธิไชยาราม 
,วัดโพธิ์ศรีบ้านเข็ง
,วัดโพธิ์ศรีธาราม
,วัดหนองแวงใต้
,วัดโพธิ์ศรีสะอาดพัฒนาราม
,วัดอรัญญิกาวาส
,วัดหนองบอน
,วัดบ้านดินดำ 
,วัดมหาชัย
,วัดธรรมรังษี
,วัดนาดี
,วัดป่าบ้านค่าย-สมศรี
,วัดโพธิ์ศรีบ้านติ้ว
,วัดกู่สุนทราราม
,วัดหนองมะเม้า
,วัดโคกสีไฮ
,วัดลัฎฐิวัล
,วัดจินดารมณ์
,วัดสุวรรณคงคา
,วัดศาลาทอง
,วัดท่าเสมา
,วัดศรีมหาโพธิ์
,วัดอรัญญา
,วัดป่าข่าง
,วัดชัยจุมพล
,วัดทัพป่าจิก
,วัดโพธิ์ศรีหนองคู 
,วัดพิไชยาราม
,วัดหนองสระพัง
,วัดป่าหนองไฮ
,วัดราษฎร์พิสัย
,วัดศรีมุนีวรรณ
,วัดอภิสิทธิ์
,วัดโนนสำราญสถิตย์
,วัดกู่ทอง 
,วัดหนองขี
,วัดทุ่งสว่าง
,วัดห้วยทราย
,วัดบ้านทัน
,วัดหนองทุ่มวราราม
,วัดทุ่งสว่างโนนม่วง
,วัดหนองแสง
,วัดสุวรรณมงคล
,วัดแห่เหนือ
,วัดหนองปอ 
,วัดหลุบควัน
,วัดโพธิ์หนองบุญชู
,วัดโสกภารา
,วัดโคกสีใน 
,วัดป่าศรัทธาธรรมวิทยา
,วัดอุทัยทิศ
,วัดสังข์ทองวนาราม
,วัดเขวาค้อ 
,วัดบ้านดอนเงิน
,วัดดอนถ่อ
,วัดโคกก่อง
,วัดนาดีวราราม
,วัดสว่างอารมณ์
,วัดพรหมประสิทธิ์
,วัดดอนพระนอน 
,วัดสระบัว
,วัดหนองแต้น้อย
,วัดป่าโนนแท่น
,วัดหนองใหญ่
,วัดพุทธมงคล
,วัดชนะไพรี
,วัดหนองบัวแก้ว
,วัดดอนไฮ
,วัดเทพวิหก
,วัดโคกไร่
,วัดหนองบัวน้อย
,วัดศรีไชยาราม
,วัดสระแคน
,วัดสระบัวทอง
,วัดบ้านเหล่า
,วัดป่าอุดมมงคล
,วัดโคกสูง 
,วัดสว่างแจ้งกอก
,วัดศรีอินทราวาส
,วัดสว่างหนองชาด
,วัดกุดเม็ก
,วัดวังจาน
,วัดสิทธาราม
,วัดหนองตาไก้
,วัดม่วงใหญ่
,วัดหนองจิก
,วัดเหล่าจั่น
,วัดสว่างศรีวิลัย
,วัดท่าสีดาบัวขาว
,วัดเสริมสุขคงคา
,วัดแดงน้อย
,วัดวิเศษสมบูรณ์
,วัดหนองแต้
,วัดวังโจดโสภาราม
,วัดชัยมงคล
,วัดไทรทองป่าตอง
,วัดปทุมวนาราม 
,วัดเหล่าตามา
,วัดนาสีนวน
,วัดโพธิ์ศรีหนองปลิง 
,วัดบ้านขี้ตุ่น
,วัดเหล่าใหญ่
,วัดสะอาดเจริญศิลป์
,วัดตำแย
,วัดศิริมงคล
,วัดเทพศิริหนองกุง
,วัดหนองกุง 
,วัดหนองไฮ 
,วัดปอแดง
,วัดบ้านค้อ
,วัดมะขามหวาน
,วัดสามัคคี
,วัดหนองเรือ 
,วัดบ้านจานสามัคคี
,วัดดอนบม
,วัดสหพัฒนาราม
,วัดอัมพวันสุทธาวาส
,วัดธรรมมงคล
,วัดเก่าบ้านโพนงาม
,วัดชัยสุทธิ
,วัดโนนสีลา
,วัดเหล่ากา
,วัดค้อธิ
,วัดสว่าง
,วัดขุนพรหมดำริ 
,วัดหนองคลอง
,วัดอัมพวนาราม
,วัดบ้านฮ่องไผ่
,วัดบ้านหนองโน
,วัดป่าหนองโก
,วัดดอนหัน
,วัดธัญญาวาส
,วัดสว่างอารุณ
,วัดฝายป่าบัว
