จังหวัด,รายชื่อวัด
,วัดน้ำไหล
,วัดจรเข้มาก
,วัดบ้านสำโรง
,วัดสระขุด
,วัดโนนศรีคูณ
,วัดโคกย่าง
,วัดป่าประชาสันติธรรม 
,วัดศรีสว่าง
,วัดคูเมืองธรรมาราม 
,วัดสระทอง
,วัดบ้านโนนมาลัย
,วัดท่าน้ำอ้อม
,วัดเมืองยาง
,วัดเปรมสิริ
,วัดกัลยาณวัฒน์
,วัดดอนอะราง
,วัดป่าหนองขอน 
,วัดป่าทองนพคุณ
,วัดลำดวน
,วัดจันทราวาส
,วัดหินโคนดง 
,วัดหัวหนอง
,วัดหนองปล่อง
,วัดโพธิ์ศรีธาราม
,วัดหนองน้ำขุ่น
,วัดหนองบอน
,วัดธรรมรังษี
,วัดป่าชุมทอง
,วัดบ้านแพงพวย
,วัดทรงธรรม
,วัดโคกเพชร
,วัดโนนสมบูรณ์
,วัดปราสาทบูรพาราม
,วัดใหม่หนองแวง
,วัดสามัคคีชัย
,วัดป่าหนองปรือ
,วัดคันธารมณ์
,วัดป่าโคกอาหงวน 
,วัดอนามัย
,วัดป่าสมณวัตร
,วัดโนนสูงน้อย
,วัดเมืองโพธิ์
,วัดจิกใหญ่
,วัดแจ้งสมรทศ
,วัดหนองคูบอน
,วัดปากช่อง
,วัดสี่เหลี่ยม
,วัดส้มป่อย
,วัดโคกเขาหญ้าคา 
,วัดป่าเสนามงคล 
,วัดทุ่งสว่างแท่นพระ
,วัดป่าหนองตาด 
,วัดป่าสามัคคีธรรม 
,วัดบ้านขาม
,วัดชายอรัญ
,วัดป่าสตึกพัฒนา
,วัดสาลวัน
,วัดตาเบ้า
,วัดหนองครก
,วัดหนองโคลน
,วัดทุ่งสว่าง
,วัดแก่นท้าว
,วัดโกรกแก้ว 
,วัดหัวถนน
,วัดใหม่อัมพวัน
,วัดป่าโนนดินแดง 
,วัดจำปาทอง
,วัดบ้านข่อย
,วัดดงบัง
,วัดป่าขมิ้นน้อย 
,วัดป่าโคกเบงเหนือ
,วัดทุ่งโพธิ์ 
,วัดอมราวาส
,วัดเขื่อนคงคา
,วัดถนนหัก
,วัดโคกกระสัง
,วัดบ้านตะโก
,วัดสว่างบูรพาราม
,วัดศรีเจริญคุณ
,วัดบ้านชาด
,วัดป่าพยัฆย์น้อยสามัคคีธรรม
,วัดป่าเทียมโพธิ์ชัย
,วัดบ้านน้อย
,วัดพระธาตุมงคลวนาราม
,วัดสว่างอารมณ์
,วัดสระบัว
,วัดจอมปราสาท
,วัดบ้านบึงเก่า
,วัดโนนศิลา
,วัดโนนสว่าง
,วัดโคกชาด
,วัดป่ารุ่งอรุณ 
,วัดโคกตาเงิน
,วัดบ้านบิง
,วัดป่าบ้านเบ็ญ 
,วัดป่าโคกเกลา
,วัดหญ้าคา
,วัดบ้านตาเสา
,วัดโคกกระหาด
,วัดโคกเมือง
,วัดหนองขุนปราบ
,วัดจอมวารี
,วัดป่าลำปลายมาศ 
,วัดป่าอุดมธรรม 
,วัดพุทไธสง
,วัดหนองดุม
,วัดสนวนโน
,วัดป่าไทยเจริญ 
,วัดสุทธาราม
,วัดป่าบ้านหนองคูณ 
,วัดป่าคูเมือง
,วัดโคกสูง 
,วัดป่าสีนางกุล 
,วัดป่าสารภี
,วัดหนองกับ
,วัดโคกตาพรม
,วัดท่าเยี่ยม
,วัดกะชาย
,วัดสายโท 
,วัดคีรีเขต
,วัดสามัคคีราษฏร์บำรุง
,วัดอุดร
,วัดกัลยาณธรรม
