จังหวัด,รายชื่อวัด
,วัดคำเชียงวัน
,วัดจำปาทอง
,วัดศรีสะอาดนามน
,วัดหนองแสง
,วัดอัมพวันแกน้อย
,วัดบ่อแก้ว
,วัดคำเม็กโนนทอง
,วัดเทวาประสิทธิ์
,วัดป่าพัฒนาราม
,วัดคำมัจฉาราม
,วัดบุญเรืองศรี
,วัดดงสวางใต้
,วัดป่านาคำ
,วัดท่าเหมือดแอ่
,วัดสว่างคำแมด
,วัดอัมพวันบ้านดอน
,วัดเทพคีรีเหล่าค้อ
,วัดบ้านชาด
,วัดศรีบูรพา
,วัดชัยสุนทร
,วัดกลางสีมาราม
,วัดโพธิพุทธคุณ
,วัดสว่างอารมณ์
,วัดดอนแคน
,วัดโนนศิลา
,วัดสันติธรรม
,วัดพุทธมงคล
,วัดป่าสนามชัย 
,วัดสร้างแสน
,วัดสว่างคำเหมือดแก้ว
,วัดป่าพุทธมงคล
,วัดโนนหนองเบ็ญ 
,วัดศิริสว่าง
,วัดโพธิ์ชัยปฐมพร
,วัดโพธิ์ศรีคำไฮ
,วัดหาฤทธาราม
,วัดบ้านหนองสระพัง
,วัดโนนสะอาดวารี
,วัดห้วยสีทน
,วัดคำบอน
,วัดป่ารัตนธรรมคุณ
,วัดนางาม
,วัดโนนตาล
,วัดนิคมห้วยผึ้ง
,วัดโพธิ์สว่างนาราม
,วัดเขตตาราม
,วัดนามน
,วัดป่าตาลอุดม
,วัดศรีสุมังคลาราม
,วัดป่าศรีไพรวัลย์โพนแพง
,วัดข้าวหลาม
,วัดศรีนวลเจริญ
,วัดโพธิ์ชัยหนองบัวนอก
,วัดถ้ำเกิ้ง 
,วัดโพธิ์ศรีสว่างอำนวย
,วัดป่าไม้แดง
,วัดสระบัวโพนสิม
,วัดสีถาน
,วัดมหามัจฉาราม
,วัดโพธิ์คีรีสว่างริมทุ่ง
,วัดสายทอง
,วัดสามัคคีธรรมบวขาว
,วัดโพธิ์ชัยหลุบใน 
,วัดอินเขียนหนองโน
,วัดบูรพาสีหราษฎร์
,วัดพุทธฉิมพลี
,วัดหนองหลวงโคกกลาง
,วัดบ้านนายอ
,วัดนทีศิลาวาส
,วัดป่าศรัทธาธรรมานุสรณ์
,วัดสายทองโคกก่อง
,วัดดอนวัดเก่า
,วัดโสภณพัฒนาราม
,วัดชัยมงคล
,วัดโพธิ์ศรีดงน้อย
,วัดนาสีนวล
,วัดเหล่าใหญ่
,วัดสว่างเทพนาวราราม
,วัดป่าเรไลนาค้อ
,วัดศิริมงคล
,วัดแจนแลนเหนือ
,วัดวงศ์สว่างธิวราราม
,วัดโพธิ์ศรีแก้วห้วยม่วง
,วัดวารีราษฎร์หนองกุง
,วัดหนองกุงเหนือ
,วัดสว่างศรีคงคา
,วัดบูรพาหนองกุง
,วัดป่าบ้านคำใหญ่
,วัดโพนนาดี
,วัดสว่างพิชัยกุดท่าลือ
,วัดตลาดแคร์หัวหนอง
,วัดโพธิ์ชัยบ้านโพน
,วัดบ้านนาวี
,วัดดอนหัน
