จังหวัด,รายชื่อวัด
,วัดนาดู่
,วัดคำนาแซง
,วัดนาใต้
,วัดป่าศรีมงคล
,วัดโพนสิม
,วัดภูคำมณี
,วัดหนองมะทอ
,วัดสว่างสมดี
,วัดอวดคงคา
,วัดหนองเหนี่ยว
,วัดสุทัศนาราม
,วัดวุฒิวาส
,วัดมงคลไชยศรี
,วัดป่าน้ำคำเกิ่ง
,วัดสุปัฏนารามวรวิหาร
,วัดบัวยาง
,วัดนาสะตัง
,วัดสว่างสายชล
,วัดฝั่งเพใน
,วัดบ้านบุ่ง
,วัดโพนเมือง
,วัดท่าสนามชัย
,วัดมงคลโกวิทาราม
,วัดเลียบวิสัย
,วัดนาเรือง
,วัดกุดชุม
,วัดหมากแหน่ง
,วัดโนนเปือย
,วัดห้วยสะคาม
,วัดคำหมี
,วัดทุ่งใต้
,วัดบ้านนาคำ
,วัดโกศลนิวาส
,วัดนทีศรัทธาวาส
,วัดป่านาเลิง
,วัดแก้วมงคล
,วัดสว่างวินัย
,วัดสว่างอัมพวัน
,วัดหัวคำ
,วัดบรมคงคา
,วัดสิงหาร
,วัดป่าไทรงาม
,วัดลัฏฐยาวาส
,วัดสระเมือง
,วัดปลาดุก
,วัดศรีสว่างวนาราม
,วัดทุ่งหนองพอก
,วัดป่าวิเวก
,วัดโนนหลี่
,วัดบ้านหวาง
,วัดดูน
,วัดธาตุรังษี
,วัดหนองโดน
,วัดสำโรงใต้
,วัดโนนฮาง
,วัดตาโกย
,วัดมงคลนอก
,วัดบ้านหนองหว้า
,วัดป่าโพธิศรี
,วัดจิกสูง
,วัดคำสว่าง
,วัดโพธิ์ศรีเหนือ
,วัดยางกลาง
,วัดหนองเม็ก
,วัดภูไทพัฒนา
,วัดสว่างวนาราม
,วัดบูรพาราม
,วัดหนองห้าง
,วัดอัมพวัน
,วัดดอนหวาย
,วัดนาเจริญ
,วัดโคกใหญ่
,วัดธชาวาส
,วัดระเว
,วัดคำเขื่อนแก้ว
,วัดฉันทาราม
,วัดหนองหิน
,วัดนาตาหมุด
,วัดสุวรรณาราม
,วัดสร้างแก้วเหนือ
,วัดอภัยคีรี
,วัดบ้านธาตุ
,วัดมูลผลาวาส
,วัดทุ่งเทิง
,วัดบ้านท่าลาด
,วัดบ้งมั่ง
,วัดหาดสวนยา 
,วัดบัวขาว
,วัดหนองกุงน้อย
,วัดโพธิ์ศรีใต้
,วัดใหม่สำราญรมย์
,วัดป่าเทพนิมิตร 
,วัดดุสิตาราม
,วัดบ้านผำ
,วัดวังกางฮุง
,วัดหินสูง
,วัดยางใหญ่
,วัดสุวรรณวงศาราม
,วัดสร้างแก้ว
,วัดสนามชัย
,วัดถ้ำเต่า
,วัดห้วยกว้าง
,วัดเรียบปะอาวใต้(ปะอาวใต้
,วัดโนนจิก
,วัดกุดหวาย
,วัดกุดประทาย
,วัดหนองฮาง
,วัดสารพัดนึก
,วัดป่งคอมสามัคคี
,วัดกุดกั่ว
,วัดบุเปือย
,วัดนาโพธิ์น้อย
